OBJECTID,BOUNDARY,LEGEND,DATA_SRC,Shape__Length
1563,Town,Town,CT,61.7060876298582
1564,County,Town,NY,13146.9637354612
1565,Town,Town,NY,6196.4225343675
1566,Town,Town,CT,863.598286241931
1567,Town,Town,NY,31074.3876671048
1568,Town,Town,NY,14065.1985076978
1569,Town,Town,NY,39954.6361268043
1570,State,State,NJ,5929.85021684407
1571,State,State,CT,41781.4425633405
1572,Town,Town,NY,368.898186539654
1573,County,Town,NY,8083.68809684551
1574,Town,Town,CT,19301.0623340477
1575,Town,Town,CT,518.01812747584
1576,Town,Town,NY,9796.66184018839
1577,State,State,NJ,6746.39465507846
1578,Town,Town,NY,33757.8540676971
1579,Town,Town,CT,25506.60256982
1580,Town,Town,NY,3109.79126452337
1581,Town,Town,NY,28624.9514751709
1582,Town,Town,NY,22585.4870689583
1583,Town,Town,NJ,9202.86821732072
1584,State,State,NJ,12190.7321235246
1585,Town,Town,NJ,7553.77614130254
1586,Town,Town,NY,12015.8043751068
1587,Town,Town,NY,19642.9461311317
1588,Town,Town,NJ,509.386766018463
1589,Town,Town,NJ,1120.76290503466
1590,Town,Town,NY,18768.917258317
1591,Town,Town,NJ,11028.2045292892
1592,Town,Town,NJ,7271.28177071459
1593,Town,Town,NY,5364.28730196322
1594,Town,Town,NJ,12913.6109387236
1595,Town,Town,NJ,3776.8411599935
1596,Town,Town,NJ,12773.4432593775
1597,Town,Town,NJ,7249.27525844939
1598,Town,Town,NJ,6499.95147912443
1599,Town,Town,NJ,9916.11059857075
1600,Town,Town,NJ,1027.77373061613
1601,Town,Town,NY,8742.81746569129
1602,Town,Town,NJ,7428.79753698738
1603,Town,Town,NJ,13662.3664789071
1604,Town,Town,NY,21963.5750918655
1605,Town,Town,NY,27996.8815543814
1606,Town,Town,NJ,5057.59875060122
1607,Town,Town,NY,16604.3755649737
1608,Town,Town,NJ,9420.1369502202
1609,Town,Town,NJ,4615.52979110651
1610,Town,Town,NJ,12004.4991861039
1611,Town,Town,NJ,218.277026264921
1612,Town,Town,NJ,15907.0252996184
1613,Town,Town,NJ,9092.85080249167
1614,Town,Town,NJ,1035.01134413658
1615,Town,Town,NJ,3214.20706324326
1616,Town,Town,NJ,8506.03773768285
1617,Town,Town,NJ,6501.53687815952
1618,Town,Town,NJ,5109.70531010598
1619,Town,Town,NY,13496.3157885107
1620,Town,Town,NJ,10744.1596511507
1621,Town,Town,NY,14039.1442677469
1622,Town,Town,NY,33429.6676357623
1623,Town,Town,NY,15425.4973638594
1624,Town,Town,NY,16268.8731212411
1625,Town,Town,NJ,11364.5814834416
1626,County,Town,NY,21151.5522386919
1627,Town,Town,NJ,5812.78229731019
1628,Town,Town,NJ,6926.39213887573
1629,Town,Town,NJ,6253.39994724233
1630,Town,Town,NJ,2148.94930332594
1631,Town,Town,NJ,9678.55021174145
1632,Town,Town,NJ,2832.70653719671
1633,Town,Town,NJ,3791.1650424728
1634,County,Town,NY,14983.1296832003
1635,Town,Town,NJ,14145.6042127913
1636,County,Town,NY,8840.46092620346
1637,Town,Town,NY,657.297867879699
1638,Town,Town,NJ,4159.42203428605
