Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Weston,52176,53424,54489,56899,56272,56195,56828,57351,55390,56197,60382,58840,61603,63426,66221,68423,74417,87435
Westport,97527,95958,106382,108033,100386,109649,117084,114217,94509,92006,98226,95577,94839,91300,95075,102251,90762,97891
Wethersfield,48064,47329,48153,46993,47299,46071,46094,43502,43185,43703,44936,46767,47172,46638,46373,48776,45446,48021
Willington,30522,31770,30991,28745,28352,28036,28082,27550,27670,27769,29744,30728,29688,31340,29943,31377,31677,30001
Wilton,111283,108513,99483,100426,96627,101687,94235,85710,92182,97785,101614,100207,98518,94835,96553,102049,93994,98837
Winchester,39027,38287,39607,39570,39890,39759,38387,38354,38748,40136,40410,40162,39950,40350,39898,43176,41289,42022
Windham,38365,36668,37198,37076,37812,37483,37291,37753,36416,35776,35955,38661,37993,37900,38113,40178,38951,40504
Windsor,66698,65481,66285,70187,66195,68280,67696,68203,66307,67590,68347,63398,61342,60123,61759,62133,57193,56717
Wndsor locks,56980,58804,59285,58590,61230,63171,62858,63687,63166,63218,63885,60628,61170,60501,61380,62904,59884,64075
Wolcott,39545,38838,38560,37885,36719,37629,37300,36080,35238,34911,36604,36097,36758,36157,36233,39044,38191,38002
Woodbridge,38409,37733,37716,37454,38578,38218,38419,39048,38631,36927,36966,37703,37586,37710,37748,42003,41552,44938
Woodbury,37504,37301,36860,36138,37512,36825,36375,36706,37447,37387,38660,38828,39044,37511,37907,41398,38082,42286
Woodstock,38767,38462,39814,39291,40846,42012,43409,43910,42935,42107,45113,42237,44023,42425,41578,43174,40992,42914
