Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ridgefield,3.2,2.9,2.9,3.8,6.1,6.6,6.7,5.9,5.8,4.9,3.9,3.6,3.5,3,2.9,5.7,4.7,3.4
Rocky hill,4.1,3.6,3.9,4.7,6.7,7.6,7.1,6.2,5.9,5,4.2,3.7,3.4,2.9,2.7,6.1,4.8,3.4
Roxbury,3,2.5,2.9,3.8,5.7,6,5.4,5.4,5.3,3.8,3.1,3,3,2.9,2,4.6,4.2,2.5
Salem,3.7,3.4,3.4,4.5,6.4,9,8.6,8.9,7.9,6.2,5.5,4.9,4.1,3.5,3.1,8.3,5.7,4.2
Salisbury,3.9,3.4,3.5,3.8,6,7.1,6.3,5.7,5,4.2,3.6,3.1,3.4,2.9,2.5,4.7,4.3,3.3
Scotland,3.3,2.7,2.8,3.6,4.3,6,5.5,5.4,5.2,6.1,5.5,4.6,4.5,3.8,3.4,6.5,5.7,3.4
Seymour,4.7,4.5,4.6,5.7,8.2,10.1,9.3,8.5,8.2,7.1,6,5.1,4.5,4,3.8,8.2,6.3,4.8
Sharon,3.1,2.5,2.9,3.6,5.6,6.5,6,5.6,5.6,4.3,3.6,3.1,3.1,2.7,2.2,4.4,3.7,2.6
Shelton,4.3,3.8,4,5,7.3,9.1,8.7,7.9,7.6,6.5,5.4,4.7,4.4,3.9,3.6,7.9,6.2,4.3
Sherman,3.3,2.9,3.1,3.5,6,7.7,7.2,6.5,6.2,5,4.1,3.9,3.6,2.9,2.8,6.4,4.7,3.6
Simsbury,3.5,3.1,3.1,3.9,5.8,6.6,6.4,5.6,5.3,4.5,3.7,3.4,3,2.7,2.5,5.3,4.3,3.1
Somers,4.7,4.4,4.5,5.3,8.2,8,7.4,7.4,6.7,5.8,4.7,4.3,3.9,3.4,3.2,6.6,5,3.8
South windsor,3.6,3.3,3.3,4.2,6.3,8,7,6.6,6.3,5.4,4.5,4,3.5,3.2,3,6.4,4.7,3.4
Southbury,4,3.5,3.7,4.6,7,8.7,8.2,7.2,7,5.8,5.4,4.7,4.1,3.7,3.3,7.3,5.7,4.2
Southington,4.3,3.7,4,4.7,7.2,8.6,7.8,7.3,6.8,5.7,4.6,4.1,3.7,3.3,3,6.5,5,3.6
Sprague,5.7,5.5,5.1,6.5,9.2,11.4,11.2,11,9.8,7.6,6.7,5.2,5,4.2,4,9.6,7.5,4.7
Stafford,5.3,4.5,4.5,5.7,8.7,10,9.1,8.7,8.4,7,6.2,5.2,4.4,3.9,3.6,7.1,5.9,4.3
Stamford,4.2,3.6,3.7,4.6,7.4,8.2,7.6,7.2,6.7,5.7,4.8,4.2,3.9,3.5,3.2,8.1,5.7,3.9
Sterling,5.4,4.7,4.6,6.5,9.2,11.7,10.8,10.6,9,8.7,7,5.8,5.4,4.7,4.5,8.1,6.4,4.7
Stonington,3.3,2.9,3.3,4.2,6,7.3,6.8,6.4,6.5,5.9,4.9,3.8,3.5,3.1,2.9,7.3,5.2,3.6
Stratford,5.2,4.7,4.7,6,9.1,10.2,9.7,9.2,8.7,7.4,6.2,5.5,5.2,4.4,4.2,9.4,7.5,4.9
Suffield,4.2,3.8,4,4.7,6.8,7.9,7.8,6.8,6.6,5.5,4.5,4,3.7,3.2,3.1,6.3,5,3.7
Thomaston,5.2,4.8,5,6.1,9.9,9.3,8.2,7.8,7.5,6,4.9,4.1,3.7,3.6,3.3,6.6,5.1,3.7
Thompson,5.1,4.8,5.1,6.2,9.8,11.5,9.7,9,8.7,6.4,5.7,5.1,4.4,3.7,3.7,6.9,5.8,4.1
Tolland,3.5,3.2,3.3,4.1,6.2,6.8,6.3,5.9,5.7,4.6,3.8,3.5,3.2,2.9,2.7,5.4,4.6,3.4
Torrington,5.8,5.1,5.4,6.3,10.3,11.3,10.2,9.2,8.7,7.3,6.2,5.6,5.1,4.5,4.1,8.4,7,4.5
Trumbull,3.9,3.4,3.5,4.5,6.8,7.7,7.3,7,6.5,5.6,4.8,4.1,3.9,3.6,3.3,7.2,5.5,3.8
Union,3.1,3.4,3.2,4,6.7,8.5,7.7,6.3,6.6,5.8,5.1,4.5,3.4,2.5,2.9,5.2,5,3.8
